"Tree_ID","ARST","CHDI","COTR","DITY","GAPR","HEAN","HEBA","HEMA","HEMI","HEPL","LALO","LYMO","MOAF","MOSU","NAME","NUBO","PSOR","PSPU","RHRO","TRMA","TRPL","TRVA","VAAL","X25","diversity_shannon","EffectSpecNumShan","diversity_simpson","EffectSpecNumbSimps","abund","rich","diversity_shannon_Arb","diversity_simpson_Arb","EffectSpecNumShan_Arb","EffectSpecNumbSimps_Arb","abund_Arb","rich_Arb","diversity_shannon_Ter","diversity_simpson_Ter","EffectSpecNumShan_Ter","EffectSpecNumbSimps_Ter","abund_Ter","rich_Ter","diversity_shannon_Noct","diversity_simpson_Noct","EffectSpecNumShan_Noct","EffectSpecNumbSimps_Noct","abund_Noct","rich_Noct","diversity_shannon_Diur","diversity_simpson_Diur","EffectSpecNumShan_Diur","EffectSpecNumbSimps_Diur","abund_Diur","rich_Diur"
"BR7",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,1,1,2,1,0,1,1,Inf,0,0,0,0,1,1,2,1,0,1,1,Inf,0,0
"BR8",0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1.242453324894,3.46410161513775,0.666666666666667,3,6,4,1.242453324894,0.666666666666667,3.46410161513775,3,6,4,0,1,1,Inf,0,0,0,0,1,1,1,1,0.950270539233235,0.56,2.58640928985893,2.27272727272727,5,3
"BR9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,0,1,1,1,1
"CY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0
"CY1.100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0
"CY10",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,0,1,1,1,1
"CY11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0
"CY12",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0.636514168294813,1.88988157484231,0.444444444444444,1.8,3,2,0,0,1,1,2,1,0,0,1,1,1,1,0,1,1,Inf,0,0,0,0,1,1,2,1
"CY13",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.693147180559945,2,0.5,2,2,2,0.693147180559945,0.5,2,2,2,2,0,1,1,Inf,0,0,0.693147180559945,0.5,2,2,2,2,0,1,1,Inf,0,0
"CY13.100",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,Inf,0,0,0,0,1,1,1,1,0,1,1,Inf,0,0
"CY2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0,0,1,1,Inf,0,0
