"Plot Title: 11"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20254718, SEN S/N: 20254718)","Intensity, Lux (LGR S/N: 20254718, SEN S/N: 20254718)","Coupler Attached (LGR S/N: 20254718)","Host Connected (LGR S/N: 20254718)","Stopped (LGR S/N: 20254718)","End Of File (LGR S/N: 20254718)"
177,05/27/18 03:20:00 PM,34.585,0.0,,,,
178,05/27/18 03:30:00 PM,34.479,0.0,,,,
179,05/27/18 03:40:00 PM,34.479,0.0,,,,
180,05/27/18 03:50:00 PM,34.374,0.0,,,,
181,05/27/18 04:00:00 PM,34.268,0.0,,,,
182,05/27/18 04:10:00 PM,34.163,0.0,,,,
183,05/27/18 04:20:00 PM,34.058,0.0,,,,
184,05/27/18 04:30:00 PM,33.848,0.0,,,,
185,05/27/18 04:40:00 PM,33.743,0.0,,,,
186,05/27/18 04:50:00 PM,33.535,0.0,,,,
187,05/27/18 05:00:00 PM,33.430,0.0,,,,
188,05/27/18 05:10:00 PM,33.222,0.0,,,,
189,05/27/18 05:20:00 PM,33.118,0.0,,,,
190,05/27/18 05:30:00 PM,32.911,0.0,,,,
191,05/27/18 05:40:00 PM,32.807,0.0,,,,
192,05/27/18 05:50:00 PM,32.704,0.0,,,,
193,05/27/18 06:00:00 PM,32.600,0.0,,,,
194,05/27/18 06:10:00 PM,32.394,0.0,,,,
195,05/27/18 06:20:00 PM,32.291,0.0,,,,
196,05/27/18 06:30:00 PM,32.188,0.0,,,,
197,05/27/18 06:40:00 PM,32.086,0.0,,,,
198,05/27/18 06:50:00 PM,31.983,0.0,,,,
199,05/27/18 07:00:00 PM,31.880,0.0,,,,
200,05/27/18 07:10:00 PM,31.676,0.0,,,,
201,05/27/18 07:20:00 PM,31.574,0.0,,,,
202,05/27/18 07:30:00 PM,31.472,0.0,,,,
203,05/27/18 07:40:00 PM,31.370,0.0,,,,
204,05/27/18 07:50:00 PM,31.268,0.0,,,,
205,05/27/18 08:00:00 PM,31.166,0.0,,,,
206,05/27/18 08:10:00 PM,31.064,0.0,,,,
207,05/27/18 08:20:00 PM,30.963,0.0,,,,
208,05/27/18 08:30:00 PM,30.760,0.0,,,,
209,05/27/18 08:40:00 PM,30.760,0.0,,,,
210,05/27/18 08:50:00 PM,30.558,0.0,,,,
211,05/27/18 09:00:00 PM,30.558,0.0,,,,
212,05/27/18 09:10:00 PM,30.457,0.0,,,,
213,05/27/18 09:20:00 PM,30.356,0.0,,,,
214,05/27/18 09:30:00 PM,30.255,0.0,,,,
215,05/27/18 09:40:00 PM,30.154,0.0,,,,
216,05/27/18 09:50:00 PM,30.054,0.0,,,,
217,05/27/18 10:00:00 PM,30.054,0.0,,,,
218,05/27/18 10:10:00 PM,29.953,0.0,,,,
219,05/27/18 10:20:00 PM,29.853,0.0,,,,
220,05/27/18 10:30:00 PM,29.853,0.0,,,,
221,05/27/18 10:40:00 PM,29.752,0.0,,,,
222,05/27/18 10:50:00 PM,29.652,0.0,,,,
223,05/27/18 11:00:00 PM,29.652,0.0,,,,
224,05/27/18 11:10:00 PM,29.552,0.0,,,,
225,05/27/18 11:20:00 PM,29.552,0.0,,,,
226,05/27/18 11:30:00 PM,29.452,0.0,,,,
227,05/27/18 11:40:00 PM,29.452,0.0,,,,
228,05/27/18 11:50:00 PM,29.352,0.0,,,,
229,05/28/18 12:00:00 AM,29.352,0.0,,,,
230,05/28/18 12:10:00 AM,29.252,0.0,,,,
231,05/28/18 12:20:00 AM,29.252,0.0,,,,
232,05/28/18 12:30:00 AM,29.152,0.0,,,,
233,05/28/18 12:40:00 AM,29.152,0.0,,,,
234,05/28/18 12:50:00 AM,29.053,0.0,,,,
235,05/28/18 01:00:00 AM,29.053,0.0,,,,
236,05/28/18 01:10:00 AM,28.953,0.0,,,,
237,05/28/18 01:20:00 AM,28.953,0.0,,,,
238,05/28/18 01:30:00 AM,28.953,0.0,,,,
239,05/28/18 01:40:00 AM,28.853,0.0,,,,
240,05/28/18 01:50:00 AM,28.853,0.0,,,,
241,05/28/18 02:00:00 AM,28.754,0.0,,,,
242,05/28/18 02:10:00 AM,28.754,0.0,,,,
243,05/28/18 02:20:00 AM,28.655,0.0,,,,
244,05/28/18 02:30:00 AM,28.655,0.0,,,,
245,05/28/18 02:40:00 AM,28.555,0.0,,,,
246,05/28/18 02:50:00 AM,28.456,0.0,,,,
247,05/28/18 03:00:00 AM,28.456,0.0,,,,
248,05/28/18 03:10:00 AM,28.357,0.0,,,,
249,05/28/18 03:20:00 AM,28.258,0.0,,,,
250,05/28/18 03:30:00 AM,28.258,0.0,,,,
251,05/28/18 03:40:00 AM,28.159,0.0,,,,
252,05/28/18 03:50:00 AM,28.060,0.0,,,,
253,05/28/18 04:00:00 AM,27.961,0.0,,,,
254,05/28/18 04:10:00 AM,27.961,0.0,,,,
255,05/28/18 04:20:00 AM,27.862,0.0,,,,
256,05/28/18 04:30:00 AM,27.764,0.0,,,,
257,05/28/18 04:40:00 AM,27.665,0.0,,,,
258,05/28/18 04:50:00 AM,27.567,0.0,,,,
259,05/28/18 05:00:00 AM,27.567,0.0,,,,
260,05/28/18 05:10:00 AM,27.468,0.0,,,,
261,05/28/18 05:20:00 AM,27.370,0.0,,,,
262,05/28/18 05:30:00 AM,27.272,0.0,,,,
263,05/28/18 05:40:00 AM,27.272,0.0,,,,
264,05/28/18 05:50:00 AM,27.173,0.0,,,,
265,05/28/18 06:00:00 AM,27.075,0.0,,,,
266,05/28/18 06:10:00 AM,26.977,0.0,,,,
267,05/28/18 06:20:00 AM,26.977,0.0,,,,
268,05/28/18 06:30:00 AM,26.879,0.0,,,,
269,05/28/18 06:40:00 AM,26.879,0.0,,,,
270,05/28/18 06:50:00 AM,26.879,0.0,,,,
271,05/28/18 07:00:00 AM,26.879,0.0,,,,
272,05/28/18 07:10:00 AM,27.075,21.5,,,,
273,05/28/18 07:20:00 AM,27.862,0.0,,,,
274,05/28/18 07:30:00 AM,28.060,10.8,,,,
275,05/28/18 07:40:00 AM,27.862,290.6,,,,
276,05/28/18 07:50:00 AM,27.173,269.1,,,,
277,05/28/18 08:00:00 AM,26.977,527.4,,,,
278,05/28/18 08:10:00 AM,27.370,742.7,,,,
279,05/28/18 08:20:00 AM,27.272,398.3,,,,
280,05/28/18 08:30:00 AM,27.173,398.3,,,,
281,05/28/18 08:40:00 AM,27.173,441.3,,,,
282,05/28/18 08:50:00 AM,27.370,441.3,,,,
283,05/28/18 09:00:00 AM,27.468,258.3,,,,
284,05/28/18 09:10:00 AM,27.665,269.1,,,,
285,05/28/18 09:20:00 AM,27.862,333.7,,,,
286,05/28/18 09:30:00 AM,28.159,355.2,,,,
287,05/28/18 09:40:00 AM,28.357,430.6,,,,
288,05/28/18 09:50:00 AM,28.357,215.3,,,,
289,05/28/18 10:00:00 AM,28.456,21.5,,,,
290,05/28/18 10:10:00 AM,29.252,0.0,,,,
291,05/28/18 10:20:00 AM,29.853,0.0,,,,
292,05/28/18 10:30:00 AM,30.255,0.0,,,,
293,05/28/18 10:40:00 AM,30.558,0.0,,,,
294,05/28/18 10:50:00 AM,30.760,0.0,,,,
295,05/28/18 11:00:00 AM,31.064,0.0,,,,
296,05/28/18 11:10:00 AM,31.268,0.0,,,,
297,05/28/18 11:20:00 AM,31.472,0.0,,,,
298,05/28/18 11:30:00 AM,31.778,0.0,,,,
299,05/28/18 11:40:00 AM,31.983,0.0,,,,
300,05/28/18 11:50:00 AM,32.188,0.0,,,,
301,05/28/18 12:00:00 PM,32.291,0.0,,,,
302,05/28/18 12:10:00 PM,32.497,0.0,,,,
303,05/28/18 12:20:00 PM,32.600,0.0,,,,
304,05/28/18 12:30:00 PM,32.704,0.0,,,,
305,05/28/18 12:40:00 PM,32.807,0.0,,,,
306,05/28/18 12:50:00 PM,32.911,0.0,,,,
307,05/28/18 01:00:00 PM,33.014,0.0,,,,
308,05/28/18 01:10:00 PM,33.014,0.0,,,,
309,05/28/18 01:20:00 PM,33.014,0.0,,,,
310,05/28/18 01:30:00 PM,33.014,0.0,,,,
311,05/28/18 01:40:00 PM,33.014,0.0,,,,
312,05/28/18 01:50:00 PM,33.014,0.0,,,,
313,05/28/18 02:00:00 PM,32.911,0.0,,,,
314,05/28/18 02:10:00 PM,32.911,0.0,,,,
315,05/28/18 02:20:00 PM,32.807,0.0,,,,
316,05/28/18 02:30:00 PM,32.704,0.0,,,,
317,05/28/18 02:40:00 PM,32.704,0.0,,,,
318,05/28/18 02:50:00 PM,32.600,0.0,,,,
319,05/28/18 03:00:00 PM,32.497,0.0,,,,
320,05/28/18 03:10:00 PM,32.394,0.0,,,,
321,05/28/18 03:20:00 PM,32.394,0.0,,,,
322,05/28/18 03:30:00 PM,32.291,0.0,,,,
323,05/28/18 03:40:00 PM,32.188,0.0,,,,
324,05/28/18 03:50:00 PM,32.086,0.0,,,,
325,05/28/18 04:00:00 PM,31.983,0.0,,,,
326,05/28/18 04:10:00 PM,31.880,0.0,,,,
327,05/28/18 04:20:00 PM,31.778,0.0,,,,
328,05/28/18 04:30:00 PM,31.676,0.0,,,,
329,05/28/18 04:40:00 PM,31.574,0.0,,,,
330,05/28/18 04:50:00 PM,31.472,0.0,,,,
331,05/28/18 05:00:00 PM,31.370,0.0,,,,
332,05/28/18 05:10:00 PM,31.166,0.0,,,,
333,05/28/18 05:20:00 PM,31.064,0.0,,,,
334,05/28/18 05:30:00 PM,30.963,0.0,,,,
335,05/28/18 05:40:00 PM,30.862,0.0,,,,
336,05/28/18 05:50:00 PM,30.760,0.0,,,,
337,05/28/18 06:00:00 PM,30.659,0.0,,,,
338,05/28/18 06:10:00 PM,30.558,0.0,,,,
339,05/28/18 06:20:00 PM,30.457,0.0,,,,
340,05/28/18 06:30:00 PM,30.356,0.0,,,,
341,05/28/18 06:40:00 PM,30.255,0.0,,,,
342,05/28/18 06:50:00 PM,30.154,0.0,,,,
343,05/28/18 07:00:00 PM,30.054,0.0,,,,
344,05/28/18 07:10:00 PM,29.953,0.0,,,,
345,05/28/18 07:20:00 PM,29.853,0.0,,,,
346,05/28/18 07:30:00 PM,29.853,0.0,,,,
347,05/28/18 07:40:00 PM,29.752,0.0,,,,
348,05/28/18 07:50:00 PM,29.652,0.0,,,,
349,05/28/18 08:00:00 PM,29.652,0.0,,,,
350,05/28/18 08:10:00 PM,29.552,0.0,,,,
351,05/28/18 08:20:00 PM,29.452,0.0,,,,
352,05/28/18 08:30:00 PM,29.352,0.0,,,,
353,05/28/18 08:40:00 PM,29.352,0.0,,,,
354,05/28/18 08:50:00 PM,29.252,0.0,,,,
355,05/28/18 09:00:00 PM,29.152,0.0,,,,
356,05/28/18 09:10:00 PM,29.152,0.0,,,,
357,05/28/18 09:20:00 PM,29.053,0.0,,,,
358,05/28/18 09:30:00 PM,29.053,0.0,,,,
359,05/28/18 09:40:00 PM,28.953,0.0,,,,
360,05/28/18 09:50:00 PM,28.953,0.0,,,,
361,05/28/18 10:00:00 PM,28.953,0.0,,,,
362,05/28/18 10:10:00 PM,28.853,0.0,,,,
363,05/28/18 10:20:00 PM,28.853,0.0,,,,
364,05/28/18 10:30:00 PM,28.754,0.0,,,,
365,05/28/18 10:40:00 PM,28.754,0.0,,,,
366,05/28/18 10:50:00 PM,28.754,0.0,,,,
367,05/28/18 11:00:00 PM,28.655,0.0,,,,
368,05/28/18 11:10:00 PM,28.655,0.0,,,,
369,05/28/18 11:20:00 PM,28.655,0.0,,,,
370,05/28/18 11:30:00 PM,28.555,0.0,,,,
371,05/28/18 11:40:00 PM,28.555,0.0,,,,
372,05/28/18 11:50:00 PM,28.555,0.0,,,,
373,05/29/18 12:00:00 AM,28.555,0.0,,,,
374,05/29/18 12:10:00 AM,28.456,0.0,,,,
375,05/29/18 12:20:00 AM,28.456,0.0,,,,
376,05/29/18 12:30:00 AM,28.456,0.0,,,,
377,05/29/18 12:40:00 AM,28.357,0.0,,,,
378,05/29/18 12:50:00 AM,28.357,0.0,,,,
379,05/29/18 01:00:00 AM,28.357,0.0,,,,
380,05/29/18 01:10:00 AM,28.258,0.0,,,,
381,05/29/18 01:20:00 AM,28.258,0.0,,,,
382,05/29/18 01:30:00 AM,28.258,0.0,,,,
