logger_num,date_time,temp_C,rh_%,dewpt_C
1,5/26/18 17:21,27.702,84.005,24.726
1,5/26/18 17:24,27.677,84,24.7
1,5/26/18 17:27,27.653,84.051,24.686
1,5/26/18 17:30,27.604,84.041,24.635
1,5/26/18 17:33,27.579,84.007,24.605
1,5/26/18 17:36,27.554,84.058,24.59
1,5/26/18 17:39,27.53,84.11,24.575
1,5/26/18 17:42,27.505,84.133,24.555
1,5/26/18 17:45,27.456,84.179,24.515
1,5/26/18 17:48,27.431,84.259,24.506
1,5/26/18 17:51,27.407,84.31,24.491
1,5/26/18 17:54,27.358,84.328,24.446
1,5/26/18 17:57,27.333,84.408,24.436
1,5/26/18 18:00,27.308,84.431,24.416
1,5/26/18 18:03,27.259,84.477,24.376
1,5/26/18 18:06,27.235,84.528,24.361
1,5/26/18 18:09,27.21,84.551,24.341
1,5/26/18 18:12,27.161,84.569,24.296
1,5/26/18 18:15,27.136,84.649,24.286
1,5/26/18 18:18,27.112,84.7,24.271
1,5/26/18 18:21,27.087,84.78,24.261
1,5/26/18 18:24,27.063,84.831,24.246
1,5/26/18 18:27,27.014,84.877,24.206
1,5/26/18 18:30,26.989,84.956,24.196
1,5/26/18 18:33,26.965,85.092,24.197
1,5/26/18 18:36,26.94,85.455,24.237
1,5/26/18 18:39,26.891,86.178,24.317
1,5/26/18 18:42,26.818,86.584,24.316
1,5/26/18 18:45,26.769,86.938,24.33
1,5/26/18 18:48,26.72,87.152,24.318
1,5/26/18 18:51,26.646,87.947,24.383
1,5/26/18 18:54,26.622,88.053,24.377
1,5/26/18 18:57,26.622,87.942,24.358
1,5/26/18 19:00,26.646,87.947,24.383
1,5/26/18 19:03,26.671,88.037,24.423
1,5/26/18 19:06,26.671,88.009,24.418
1,5/26/18 19:09,26.695,87.903,24.424
1,5/26/18 19:12,26.72,87.74,24.42
1,5/26/18 19:15,26.72,87.46,24.372
1,5/26/18 19:18,26.671,87.561,24.341
1,5/26/18 19:21,26.646,88.031,24.398
1,5/26/18 19:24,26.646,87.611,24.325
1,5/26/18 19:27,26.598,87.908,24.328
1,5/26/18 19:30,26.549,88.288,24.345
1,5/26/18 19:33,26.524,88.505,24.358
1,5/26/18 19:36,26.524,88.896,24.424
1,5/26/18 19:39,26.524,88.477,24.353
1,5/26/18 19:42,26.549,88.064,24.307
1,5/26/18 19:45,26.549,88.372,24.359
1,5/26/18 19:48,26.549,87.925,24.283
1,5/26/18 19:51,26.549,87.897,24.278
1,5/26/18 19:54,26.549,88.092,24.312
1,5/26/18 19:57,26.524,88.115,24.291
1,5/26/18 20:00,26.524,87.667,24.214
1,5/26/18 20:03,26.5,87.409,24.146
1,5/26/18 20:06,26.329,87.062,23.917
1,5/26/18 20:09,26.061,88.592,23.914
1,5/26/18 20:12,25.55,89.554,23.57
1,5/26/18 20:15,25.065,90.926,23.315
1,5/26/18 20:18,24.629,93.303,23.263
1,5/26/18 20:21,24.267,94.967,23.161
1,5/26/18 20:24,24.002,96.053,23.062
1,5/26/18 20:27,23.785,97.223,23.021
1,5/26/18 20:30,23.665,97.748,22.979
1,5/26/18 20:33,23.545,97.955,22.888
1,5/26/18 20:36,23.448,98.827,22.92
1,5/26/18 20:39,23.472,98.939,22.96
1,5/26/18 20:42,23.521,99.267,23.056
1,5/26/18 20:45,23.569,99.596,23.152
1,5/26/18 20:48,23.569,99.701,23.167
1,5/26/18 20:51,23.641,99.615,23.227
1,5/26/18 20:54,23.593,99.444,23.154
1,5/26/18 20:57,23.497,99.156,23.016
1,5/26/18 21:00,23.4,98.788,22.866
1,5/26/18 21:03,23.232,98.717,22.687
1,5/26/18 21:06,23.112,99.027,22.611
1,5/26/18 21:09,23.064,99.25,22.595
1,5/26/18 21:12,23.04,99.454,22.6
1,5/26/18 21:15,23.112,99.84,22.728
1,5/26/18 21:18,23.136,99.689,22.731
1,5/26/18 21:21,23.112,99.709,22.71
1,5/26/18 21:24,23.088,99.65,22.677
1,5/26/18 21:27,23.04,99.532,22.612
1,5/26/18 21:30,23.208,100,22.851
1,5/26/18 21:33,23.376,100,23.027
1,5/26/18 21:36,23.328,99.846,22.946
1,5/26/18 21:39,23.232,99.925,22.861
1,5/26/18 21:42,23.304,100,22.951
1,5/26/18 21:45,23.28,99.938,22.911
1,5/26/18 21:48,23.28,100,22.949
1,5/26/18 21:51,23.376,100,23.064
1,5/26/18 21:54,23.497,100,23.19
1,5/26/18 21:57,23.569,100,23.265
1,5/26/18 22:00,23.593,100,23.283
1,5/26/18 22:03,23.472,100,23.161
1,5/26/18 22:06,23.328,100,23.014
1,5/26/18 22:09,23.136,100,22.817
1,5/26/18 22:12,23.04,100,22.728
1,5/26/18 22:15,22.968,100,22.66
1,5/26/18 22:18,22.944,100,22.635
1,5/26/18 22:21,22.944,100,22.635
1,5/26/18 22:24,22.968,100,22.675
1,5/26/18 22:27,23.04,100,22.75
1,5/26/18 22:30,23.088,100,22.8
1,5/26/18 22:33,23.184,100,22.901
1,5/26/18 22:36,23.28,100,23.001
1,5/26/18 22:39,23.328,100,23.051
1,5/26/18 22:42,23.4,100,23.126
1,5/26/18 22:45,23.448,100,23.173
1,5/26/18 22:48,23.448,100,23.169
1,5/26/18 22:51,23.448,100,23.173
1,5/26/18 22:54,23.472,100,23.198
1,5/26/18 22:57,23.497,100,23.227
1,5/26/18 23:00,23.521,100,23.252
1,5/26/18 23:03,23.545,100,23.273
1,5/26/18 23:06,23.569,100,23.299
1,5/26/18 23:09,23.665,100,23.395
1,5/26/18 23:12,23.713,100,23.446
1,5/26/18 23:15,23.785,100,23.521
1,5/26/18 23:18,23.809,100,23.546
1,5/26/18 23:21,23.881,100,23.618
1,5/26/18 23:24,23.905,100,23.647
1,5/26/18 23:27,23.954,100,23.697
1,5/26/18 23:30,23.978,100,23.719
1,5/26/18 23:33,24.002,100,23.748
